iter	Passed	Remaining
992	39520	40077
993	39553	40031
994	39585	39983
995	39618	39937
996	39649	39888
997	39688	39847
998	39723	39803
999	39762	39762
1000	39803	39723
1001	39846	39687
1002	39879	39641
1003	39912	39594
1004	39947	39549
1005	39981	39504
1006	40020	39463
1007	40054	39418
1008	40088	39373
1009	40122	39327
1010	40156	39282
1011	40189	39236
1012	40223	39191
1013	40262	39150
1014	40299	39108
1015	40334	39063
1016	40364	39014
1017	40396	38967
1018	40429	38921
1019	40461	38874
1020	40499	38833
1021	40535	38790
1022	40568	38744
1023	40605	38702
1024	40641	38658
1025	40673	38611
1026	40708	38568
1027	40748	38528
1028	40786	38487
1029	40834	38456
1030	40883	38424
1031	40927	38388
1032	40971	38353
1033	41012	38315
1034	41056	38280
1035	41097	38240
1036	41133	38197
1037	41171	38156
1038	41216	38122
1039	41252	38079
1040	41292	38039
1041	41331	37999
1042	41375	37963
1043	41429	37937
1044	41475	37903
1045	41517	37866
1046	41555	37824
1047	41593	37783
1048	41629	37740
1049	41665	37696
1050	41707	37660
1051	41756	37628
1052	41798	37590
1053	41835	37548
1054	41873	37507
1055	41911	37466
1056	41945	37421
1057	41980	37377
1058	42015	37333
1059	42049	37289
1060	42088	37248
1061	42123	37205
1062	42161	37164
1063	42200	37123
1064	42238	37082
1065	42276	37041
1066	42313	36999
1067	42349	36956
1068	42386	36914
1069	42424	36873
1070	42478	36846
1071	42532	36818
1072	42576	36783
1073	42615	36742
1074	42651	36700
1075	42687	36657
1076	42721	36612
1077	42758	36570
1078	42796	36529
1079	42831	36486
1080	42865	36441
1081	42902	36399
1082	42935	36354
1083	42972	36312
1084	43011	36272
1085	43042	36225
1086	43076	36181
1087	43117	36142
1088	43149	36096
1089	43181	36050
1090	43223	36013
1091	43260	35971
1092	43299	35931
1093	43335	35888
1094	43362	35838
1095	43399	35796
1096	43435	35754
1097	43471	35711
1098	43507	35668
1099	43540	35623
1100	43581	35585
1101	43617	35543
1102	43650	35498
1103	43688	35457
1104	43723	35414
1105	43761	35373
1106	43796	35329
1107	43830	35285
1108	43864	35242
1109	43899	35198
1110	43935	35156
1111	43968	35111
1112	44004	35069
1113	44037	35024
1114	44071	34980
1115	44105	34936
1116	44139	34892
1117	44176	34851
1118	44213	34810
1119	44248	34766
1120	44282	34723
1121	44318	34680
1122	44352	34637
1123	44389	34595
1124	44428	34555
1125	44463	34512
1126	44499	34470
1127	44537	34429
1128	44577	34390
1129	44614	34349
1130	44650	34306
1131	44688	34266
1132	44727	34226
1133	44767	34187
1134	44806	34147
1135	44845	34107
1136	44882	34066
1137	44917	34023
1138	44954	33982
1139	44990	33940
1140	45029	33900
1141	45065	33858
1142	45102	33816
1143	45141	33777
1144	45183	33739
1145	45223	33700
1146	45263	33661
1147	45300	33620
1148	45337	33578
1149	45375	33538
1150	45414	33498
1151	45454	33459
1152	45491	33418
1153	45530	33378
1154	45571	33339
1155	45610	33300
1156	45650	33260
1157	45692	33223
1158	45747	33195
1159	45795	33161
1160	45844	33129
1161	45885	33091
1162	45929	33055
1163	45966	33013
1164	46000	32970
