iter	RMSE
1638	186457.0742
1639	186444.1372
1640	186437.6636
1641	186429.3789
1642	186419.187
1643	186408.751
1644	186396.586
1645	186383.5215
1646	186372.5376
1647	186362.7432
1648	186351.4966
1649	186340.2175
1650	186329.8417
1651	186323.5075
1652	186317.3168
1653	186306.2389
1654	186297.3966
1655	186290.9495
1656	186282.5232
1657	186273.5563
1658	186269.5683
1659	186257.7997
1660	186246.4579
1661	186239.7566
1662	186231.9654
1663	186221.7168
1664	186212.2578
1665	186203.678
1666	186179.8101
1667	186171.1718
1668	186161.0426
1669	186150.8174
1670	186141.2454
1671	186135.4567
1672	186127.091
1673	186118.39
1674	186104.5302
1675	186096.9961
1676	186081.5762
1677	186070.6818
1678	186059.2003
1679	186047.9927
